ACID,Flight_instance_ID,Year,Month,Day,Hour,Minute,Second,ABRK,ELEV_1,ELEV_2,EVNT,FADF,FADS,FGC3,FIRE_1,FIRE_2,FIRE_3,FIRE_4,FLAP,FQTY_1,FQTY_2,FQTY_3,FQTY_4,GLS,GPWS,HDGS,HF1,HF2,HYDG,HYDY,ILSF,LATP,LMOD,LOC,LONP,MNS,MRK,MW,N1CO,OIPL,OIT_1,OIT_2,OIT_3,OIT_4,PACK,PH,POVT,PTRM,PUSH,SAT,SMKB,SMOK,SNAP,SPLG,SPLY,SPL_1,SPL_2,TAI,TAT,TCAS,TMAG,TMODE,VHF1,VHF2,VHF3,VMODE,VSPS,WAI_1,WAI_2,APUF_Mean,APUF_Min,APUF_Max,CCPC_Mean,CCPC_Min,CCPC_Max,CCPF_Mean,CCPF_Min,CCPF_Max,CWPC_Mean,CWPC_Min,CWPC_Max,CWPF_Mean,CWPF_Min,CWPF_Max,MSQT_1_Mean,MSQT_1_Min,MSQT_1_Max,MSQT_2_Mean,MSQT_2_Min,MSQT_2_Max,PI_Mean,PI_Min,PI_Max,PS_Mean,PS_Min,PS_Max,PSA_Mean,PSA_Min,PSA_Max,PT_Mean,PT_Min,PT_Max,RUDD_Mean,RUDD_Min,RUDD_Max,RUDP_Mean,RUDP_Min,RUDP_Max,SHKR_Mean,SHKR_Min,SHKR_Max,TOCW_Mean,TOCW_Min,TOCW_Max,ALT_Mean,ALT_Min,ALT_Max,ALTR_Mean,ALTR_Min,ALTR_Max,AOA1_Mean,AOA1_Min,AOA1_Max,AOA2_Mean,AOA2_Min,AOA2_Max,AOAC_Mean,AOAC_Min,AOAC_Max,AOAI_Mean,AOAI_Min,AOAI_Max,BAL1_Mean,BAL1_Min,BAL1_Max,BAL2_Mean,BAL2_Min,BAL2_Max,CAS_Mean,CAS_Min,CAS_Max,CASM_Mean,CASM_Min,CASM_Max,DA_Mean,DA_Min,DA_Max,GS_Mean,GS_Min,GS_Max,LATG_Mean,LATG_Min,LATG_Max,LONG_Mean,LONG_Min,LONG_Max,MACH_Mean,MACH_Min,MACH_Max,MH_Mean,MH_Min,MH_Max,N1T_Mean,N1T_Min,N1T_Max,NSQT_Mean,NSQT_Min,NSQT_Max,TAS_Mean,TAS_Min,TAS_Max,TH_Mean,TH_Min,TH_Max,TRK_Mean,TRK_Min,TRK_Max,TRKM_Mean,TRKM_Min,TRKM_Max,VIB_1_Mean,VIB_1_Min,VIB_1_Max,WD_Mean,WD_Min,WD_Max,WS_Mean,WS_Min,WS_Max,RALT_Mean,RALT_Min,RALT_Max,ROLL_Mean,ROLL_Min,ROLL_Max,VRTG_Mean,VRTG_Min,VRTG_Max,CTAC_Mean,CTAC_Min,CTAC_Max,FPAC_Mean,FPAC_Min,FPAC_Max,IVV_Mean,IVV_Min,IVV_Max,ACMT,AIL_1,AIL_2,ALTS,APFD,A_T,BLV,BPGR_1,BPGR_2,BPYR_1,BPYR_2,CALT,CASS,CRSS,DFGS,DWPT,EAI,FF
676,6.76E+14,2004,8,24,18,19,27.5,119.9835587,1.522102737,42.60784836,1,15,15,24.2,0,0,0,0,94.1,7551.2,0,0,7655.2,-0.001559975,1,107.9289169,1,1,1,1,2303397,41.99252841,5,-0.002234391,-80.78414813,719,7,0,0,15,103.5892334,108.2900696,104.6637054,54.83469848,3,5,0,9.256422424,1,-34.125,1,0,1,1,1,69.9399971,65.56947327,0,-12.45,0,1,9,1,1,1,2,0,0,0,0,0,0,2152.65,2152.2,2153.1,2025.75,2025.4,2026.1,2001.15,1993,2009.3,2098.75,2098.6,2098.9,0,0,0,0,0,0,121.9859375,121.91875,122.053125,10.1585041,10.15825987,10.15874834,343.85,343.84375,343.85625,465.8296875,465.746875,465.9125,-1.308260155,-1.321557999,-1.294962311,1922.15,1820.7,2023.6,0.5,0,1,0,0,0,27030.25,27028.4,27032,22.8,-88,104,-2.63669938,-2.658671464,-2.610333146,-3.441992844,-3.493628586,-3.388159837,-3.040991868,-3.071753586,-3.010230149,-3.040991868,-3.071753586,-3.010230149,27030.95,27029.3,27032.6,27032.025,27030.2,27033.7,268.71875,268.60625,268.8375,293,293,293,1.46886161,1.458973992,1.476551985,417.55,417.4625,417.6375,0.002448466,0.00051806,0.004023266,0.063116369,0.062544882,0.063611674,0.678875393,0.678598195,0.679158896,108.6096573,108.6004562,108.619133,94.521875,94.521875,94.521875,1,1,1,405.8546875,405.68125,406.025,100.6036114,100.5933121,100.613636,102.0941391,102.0923538,102.0951004,110.1005936,110.0994949,110.1016922,0.1875,0.1875,0.1875,-39.23438,-39.375005,-39.0234425,16.21142959,16.13672256,16.23633194,5500,5500,5500,-0.097363727,-0.123043678,-0.075803499,0.554840994,-2.065920925,0.995616484,-0.000366391,-0.002833298,0.0020517,0.015051906,0.0143619,0.0157297,34.45625,32.5,36.5,64.2,84.82293167,81.04024735,27000,1,1,15,0,34.66805763,48.82824707,0,0,288.25,110.9171753,1,154647.6,0,5898
676,6.76E+14,2004,8,24,18,19,37.5,119.9835587,23.93179665,42.60580254,1,15,15,24.2,0,0,0,0,94.1,7543.2,0,0,7645.6,-0.024140986,1,107.9289169,1,1,1,1,2303397,41.98849485,5,-0.026087588,-80.75861028,719,7,0,0,15,103.1863098,108.2900696,104.7980163,104.5293945,3,5,0,9.489642716,1,-34,1,0,1,1,1,70.10535965,65.26182709,0,-12.075,0,1,9,1,1,1,2,0,0,0,0,0,0,2155.95,2155.6,2156.3,2028,2027.9,2028.1,2019.5,2019.1,2019.9,2098.85,2098.7,2099,0,0,0,0,0,0,124.0578125,124,124.115625,10.15825972,10.15786896,10.15865049,343.846875,343.834375,343.859375,467.946875,467.878125,468.015625,-1.321557999,-1.327695465,-1.315420532,1618.45,1213.7,2023.2,0.5,0,1,0,0,0,27029.875,27028.6,27031.7,-42,-124.8,54.4,-2.809180345,-2.830054368,-2.786109055,-3.574927415,-3.634253587,-3.528784837,-3.189307297,-3.221167649,-3.150855149,-3.191504563,-3.22556218,-3.146460618,27029.9,27028.1,27031.4,27030.725,27028.9,27032.4,270.90625,270.79375,271.00625,293,293,293,1.430409712,1.419423473,1.437001455,420.55,420.4625,420.6375,0.002804059,0.001026046,0.004277253,0.060766864,0.060208046,0.061325681,0.6840225,0.683770501,0.6842682,108.7053757,108.6987839,108.7119675,94.53125,94.53125,94.53125,1,1,1,408.9703125,408.83125,409.1125,100.6777649,100.6713104,100.6839447,102.129982,102.129158,102.1313553,110.1573105,110.1560745,110.1588211,0.17734375,0.171875,0.18125,-39.41016125,-39.5859425,-39.1640675,15.93750381,15.93750381,15.93750381,5500,5500,5500,-0.131832612,-0.159297896,-0.105465977,0.989579308,0.984400415,0.995845556,-0.000702238,-0.003126366,0.001367798,0.016175456,0.0150458,0.0170975,-38.74375,-45.4,-31.6,63.7,84.84134216,81.03001862,27000,1,1,15,0,34.17977524,48.82824707,0,0,288.25,110.9171753,1,153715.2,0,5909.8
676,6.76E+14,2004,8,24,18,19,47.5,119.9835587,30.39243164,42.61398583,1,15,15,24.4,0,0,0,0,94.3,7531.2,0,0,7636,-0.000272997,1,107.9289169,1,1,1,1,2303397,41.98447775,5,-0.004782387,-80.7330418,719,7,0,0,15,103.052002,108.2900696,104.3950836,104.3950836,3,5,0,9.544879532,1,-34,1,0,1,1,1,71.2657692,65.40507507,0,-11.8,0,1,9,1,1,1,2,0,0,0,0,0,0,2159.7,2156.2,2163.2,2029.85,2029.7,2030,2020.35,2020.1,2020.6,2098.7,2098.5,2098.9,0,0,0,0,0,0,126.1328125,126.06875,126.196875,10.16050663,10.16021347,10.16079979,343.921875,343.909375,343.934375,470.090625,470.040625,470.140625,-1.321557999,-1.335878754,-1.307237244,1820.65,1618.4,2022.9,0.5,0,1,0,0,0,27025.8,27024.4,27027.3,-9.2,-97.6,89.6,-2.933325852,-2.953101243,-2.90915593,-3.639745988,-3.704563798,-3.585913743,-3.298071946,-3.317847337,-3.273902024,-3.298071946,-3.317847337,-3.273902024,27025.4,27023.6,27027.2,27026.2,27024.4,27028,273.0984375,272.99375,273.20625,293,293,293,1.445790446,1.44139595,1.450184941,423.540625,423.4375,423.6375,0.002321467,0.000670481,0.004226446,0.058925355,0.058480859,0.059395242,0.689175892,0.688917589,0.689453089,108.7125168,108.705925,108.7191086,94.53203125,94.53125,94.5328125,1,1,1,412.0125,411.86875,412.15625,100.6634827,100.6570282,100.6696625,102.1342369,102.1335502,102.1351982,110.1820297,110.1796951,110.184639,0.1875,0.1875,0.1875,-38.75977063,-39.0234425,-38.531255,15.93750381,15.93750381,15.93750381,5500,5500,5500,-0.06646567,-0.088987014,-0.043944296,0.991982728,0.985544968,0.9972188,-1.17E-08,-0.00254021,0.0023448,0.014221456,0.013384899,0.0152412,7.275,1.5,12.6,64.2,84.86180115,81.04638367,27000,1,1,15,0,34.17977524,49.31652985,0,0,288.25,110.9171753,1,149952.8,0,5917
676,6.76E+14,2004,8,24,18,19.3,39.5,119.9835587,31.40919418,42.62216912,1,15,15,24.2,0,0,0,0,94.4,7518.4,0,0,7624,-0.000506993,1,107.9289169,1,1,1,1,2303397,41.98039249,5,-0.002057992,-80.70728032,719,7,0,0,15,102.9176941,108.2900696,104.2607727,104.2607727,3,5,0,9.686041259,1,-34.125,1,0,1,1,1,71.12444306,65.44353027,0,-11.425,0,1,9,1,1,1,2,0,0,0,0,0,0,2159.75,2159,2160.5,2032.85,2032.3,2033.4,2018.75,2018.4,2019.1,2098.95,2098.7,2099.2,0,0,0,0,0,0,128.4953125,128.421875,128.56875,10.16045785,10.16021356,10.16070213,343.9234375,343.9125,343.934375,472.4265625,472.346875,472.50625,-1.317466355,-1.325649643,-1.309283066,2023,2022.9,2023.1,0.5,0,1,0,0,0,27024.825,27023.5,27026.3,-13.6,-91.2,65.6,-3.068457688,-3.089331712,-3.040991868,-3.725438012,-3.774874009,-3.673803605,-3.402442063,-3.432105149,-3.374976243,-3.402442063,-3.432105149,-3.374976243,27025.525,27024,27027.3,27026.175,27024.7,27027.9,275.5171875,275.41875,275.6375,293,293,293,1.426015216,1.415028977,1.432606959,426.35625,426.275,426.4375,0.002029365,0.000772047,0.003464484,0.056766355,0.056296456,0.057160044,0.69483172,0.694587595,0.6951105,108.7855721,108.7800789,108.7910652,94.546875,94.546875,94.546875,1,1,1,415.375,415.23125,415.525,100.7156677,100.7097626,100.7212982,102.1659546,102.164856,102.1670532,110.2362747,110.2351761,110.2379227,0.1875,0.1875,0.1875,-37.59961438,-37.82813,-37.26563,15.63867569,15.53906631,15.73828506,5500,5500,5500,-0.075254386,-0.090085452,-0.062620395,0.997161591,0.992411995,1.001567888,-7.94E-05,-0.002247144,0.0022471,0.012951356,0.0120171,0.0137757,18.2,13.9,22.7,64.2,84.86998596,81.04842987,27000,1,1,15,0,34.17977524,49.80481262,0,0,288.25,110.9171753,1,149876.8,0,5931
676,6.76E+14,2004,8,24,18,20,7.5,119.9835587,33.85392609,42.62421494,1,15,15,24.2,0,0,0,0,94.3,7509.6,0,0,7611.2,-0.008462991,1,107.9289169,1,1,1,1,2303397,41.97627239,5,-0.011485591,-80.68130438,719,7,0,0,15,103.052002,108.2900696,104.3950836,104.2607727,3,5,0,9.923353195,1,-34.175,1,0,1,1,1,71.12636642,65.41564942,0,-11.125,0,1,9,1,1,1,2,0,0,0,0,0,0,2164.1,2163.1,2165.1,2040.2,2040.1,2040.3,1990.9,1988.9,1992.9,2102.35,2102.1,2102.6,0,0,0,0,0,0,130.55625,130.5125,130.6,10.16026249,10.1599206,10.16060438,343.9015625,343.884375,343.91875,474.4703125,474.43125,474.509375,-1.307237244,-1.311328888,-1.3031456,2022.8,2022.6,2023,0.5,0,1,0,0,0,27026.6,27024.8,27028.2,-6.4,-116.8,73.6,-3.256323899,-3.278296555,-3.238745774,-3.872649277,-3.919890488,-3.827605332,-3.568335618,-3.594702805,-3.537573899,-3.568335618,-3.594702805,-3.537573899,27026.75,27025.5,27027.9,27027.525,27026.2,27028.8,277.6125,277.5375,277.68125,293,293,293,1.404042738,1.401845491,1.410634482,428.8375,428.75,428.9375,0.001597571,-0.000142312,0.002905667,0.054264444,0.053705609,0.054721666,0.699756742,0.699570888,0.699936295,108.8700256,108.8663178,108.8745575,94.546875,94.546875,94.546875,1,1,1,418.3125,418.2,418.41875,100.7782898,100.7751312,100.7811737,102.2016601,102.1994629,102.2033081,110.2938145,110.2923042,110.29505,0.1875,0.1875,0.1875,-36.70313,-36.98438,-36.4921925,14.94141006,14.94141006,14.94141006,5500,5500,5500,-0.024169677,-0.03845163,-0.010986331,0.990294606,0.985316086,0.99538765,0.000689997,-0.001954058,0.0028333,0.012859762,0.0119194,0.0137757,-2.4625,-9,4.4,64.2,84.87816925,81.07297974,27000,1,1,15,0,34.17977524,48.82824707,0,0,288.25,110.9171753,1,149802.8,0,5952.2
676,6.76E+14,2004,8,24,18,20,17.5,119.9835587,39.73151016,42.62626076,1,15,15,24,0,0,0,0,94,7500.8,0,0,7604,-0.015951002,1,107.9289169,1,1,1,1,2303397,41.9720665,5,-0.017698789,-80.65527024,719,7,0,0,15,102.9176941,108.2900696,104.2607727,104.1264648,3,5,0,9.925398636,1,-34.225,1,0,1,1,1,71.22250595,65.24356003,0,-10.9,0,1,9,0.8,1,1,2,0,0,0,0,0,0,2163.55,2162.3,2164.8,2040.2,2040,2040.4,1920,1906.4,1933.6,2105.25,2104.7,2105.8,0,0,0,0,0,0,132.1015625,132.05625,132.146875,10.16065326,10.16021347,10.16109304,343.9125,343.903125,343.921875,476.040625,475.99375,476.0875,-1.311328888,-1.321557999,-1.301099777,2023.05,2022.8,2023.3,0.5,0,1,0,0,0,27025.225,27023.7,27026.8,-12,-86.4,52.8,-3.356299485,-3.383765305,-3.335425462,-3.957244004,-3.99459752,-3.92428502,-3.659522141,-3.678198899,-3.638648118,-3.659522141,-3.678198899,-3.638648118,27025.725,27024.2,27027.2,27026.4,27024.8,27027.9,279.2,279.11875,279.29375,293,293,293,1.383168885,1.379873014,1.384267509,431.3625,431.2875,431.475,0.002143666,0.000822866,0.003566062,0.052715063,0.052232456,0.053146863,0.703473748,0.703281599,0.703697401,108.9397888,108.9333344,108.94487,94.55390625,94.553125,94.5546875,1,1,1,420.528125,420.41875,420.6375,100.8260803,100.8201752,100.8317108,102.2346192,102.2340698,102.2351685,110.3498383,110.348877,110.3510742,0.1875,0.1875,0.1875,-37.42383313,-37.6171925,-37.125005,15.01611709,14.94141006,15.24023819,5500,5500,5500,-0.100796836,-0.112057536,-0.091184085,0.992039955,0.987147283,0.996303177,-0.000781621,-0.003224088,0.0017586,0.0118217,0.0111378,0.0126033,2.09375,-0.1,4.3,64.1,84.89044418,81.09957733,27000,1,1,15,0,34.17977524,48.82824707,0,0,288.25,110.9171753,1,149726,0,5961.6
676,6.76E+14,2004,8,24,18,20,27.5,119.9835587,30.31264572,42.61807747,1,15,15,24.4,0,0,0,0,94.1,7488.8,0,0,7592,0,1,107.9289169,1,1,1,1,2303397,41.96794639,5,-0.001038793,-80.62907986,719,7,0,0,15,102.9176941,108.2900696,104.2607727,104.2607727,3,5,0,9.931536103,1,-34.2,1,0,1,1,1,71.28403625,59.10598297,0,-10.675,0,1,9,1,1,1,2,0,0,0,0,0,0,2174.5,2171.5,2177.5,2044.95,2039.3,2050.6,1969.25,1954,1984.5,2101.2,2100.7,2101.7,0,0,0,0,0,0,133.884375,133.81875,133.95,10.16084866,10.16060438,10.16109295,343.91875,343.90625,343.93125,477.8296875,477.75625,477.903125,-1.31337471,-1.325649643,-1.301099777,2022.95,2022.7,2023.2,0.5,0,1,0,0,0,27025.1,27024,27026.5,7.2,-86.4,116.8,-3.473853196,-3.50681218,-3.440894212,-4.034148301,-4.086882676,-3.985808457,-3.762790193,-3.805634964,-3.726536454,-3.762790193,-3.805634964,-3.726536454,27025.425,27023.7,27027.1,27026.15,27024.1,27028.1,281.0078125,280.86875,281.13125,293,293,293,1.386464757,1.379873014,1.401845491,433.5875,433.5125,433.6875,0.00100067,-0.000853538,0.002753258,0.050771955,0.049844861,0.051521241,0.707691592,0.707351387,0.70797509,108.9792023,108.9723358,108.9866181,94.5625,94.5625,94.5625,1,1,1,423.0109375,422.81875,423.175,100.8429703,100.8366547,100.8503853,102.2565918,102.2549439,102.2582398,110.3928223,110.390625,110.3950195,0.1875,0.1875,0.1875,-36.52734875,-36.9140675,-36.2109425,15.16553116,14.94141006,15.43945694,5500,5500,5500,-0.023208204,-0.052733342,0.001098427,0.99461512,0.984629393,1.005459261,0.000329727,-0.002149446,0.0033218,0.009879913,0.008793,0.0111378,18.13125,12.3,22.6,64.2,84.91703873,81.10162277,27000,1,1,15,0,34.17977524,48.82824707,0,0,288.25,110.9171753,1,149649.6,0,5970.8
676,6.76E+14,2004,8,24,18,20,37.5,119.9835587,31.40305786,42.61398583,1,15,15,24,0,0,0,0,94.3,7480,0,0,7582.4,-0.000195003,1,107.9289169,1,1,1,1,2303397,41.96365549,5,-0.005056785,-80.60274242,719,7,0,0,15,102.9176941,108.2900696,104.2607727,103.992157,3,5,0,10.22613067,1,-34.25,1,0,1,1,1,70.96196594,49.24682426,0,-10.35,0,1,9,0.8,1,1,2,0,0,0,0,0,0,2177.3,2176.1,2178.5,2038.2,2038.1,2038.3,1957.95,1948.2,1967.7,2103.35,2103.1,2103.6,0,0,0,0,0,0,135.9125,135.85,135.975,10.1605555,10.16021356,10.16089744,343.921875,343.909375,343.934375,479.84375,479.775,479.9125,-1.297008133,-1.307237244,-1.286779023,2023,2022.9,2023.1,0.5,0,1,0,0,0,27025.625,27023.8,27027.4,-10.4,-108.8,83.2,-3.639746751,-3.665015305,-3.61228093,-4.182463731,-4.223113145,-4.148406113,-3.90890416,-3.937468613,-3.889128769,-3.90890416,-3.937468613,-3.889128769,27025.425,27024,27027.2,27026.275,27024.9,27027.9,283.0296875,282.9125,283.1625,293,293,293,1.142569965,1.129386473,1.160147965,435.515625,435.45,435.6,0.002308765,-0.000193131,0.004683661,0.048473266,0.047711265,0.049184454,0.71243865,0.712170899,0.7127442,109.2357248,109.2239151,109.2464363,94.57109375,94.5703125,94.571875,1,1,1,425.853125,425.70625,426.03125,101.0776564,101.0668083,101.0876808,102.2467041,102.2439575,102.2505493,110.4051819,110.4032593,110.4082031,0.1875,0.1875,0.1875,-39.28711438,-39.656255,-38.8828175,13.37256181,13.24805002,13.44726887,5500,5500,5500,-0.215463358,-0.252678531,-0.177973387,0.994586468,0.988520622,1.001567936,-0.002259309,-0.005568934,0.001465501,0.008670875,0.0075229,0.0095746,7.7,0.2,16.5,64.2,84.9088562,81.10571518,27000,1,1,15,0,34.17977524,49.31652985,0,0,288.25,110.9171753,1,149570.8,0,5989
676,6.76E+14,2004,8,24,18,20,47.5,119.9835587,27.75335007,42.61603165,1,15,15,24.2,0,0,0,0,94.4,7473.6,0,0,7571.2,-0.024998999,1,107.9289169,1,1,1,1,2303397,41.95938106,5,-0.024715591,-80.57632227,719,7,0,0,15,102.7833832,108.1557617,104.2607727,103.5892334,3,5,0,10.43275871,1,-34.225,1,0,1,1,1,70.4918396,52.72324677,0,-10.075,0,1,9,1,1,1,2,0,0,0,0,0,0,2174.2,2170.5,2177.9,2037.55,2037.2,2037.9,1923.85,1916.8,1930.9,2112.6,2110.6,2114.6,0,0,0,0,0,0,137.265625,137.246875,137.284375,10.15987162,10.15962734,10.16011591,343.890625,343.878125,343.903125,481.178125,481.146875,481.209375,-1.305191422,-1.311328888,-1.299053955,2023.05,2022.9,2023.2,0.5,0,1,0,0,0,27026.875,27025.3,27028.5,2.8,-92.8,94.4,-3.758395852,-3.783663071,-3.739720811,-4.279143418,-4.31100377,-4.245085801,-4.02206334,-4.047331894,-3.99459752,-4.025359238,-4.047331894,-3.998992051,27027.45,27025.9,27029.1,27028.175,27026.5,27030,284.353125,284.2875,284.425,293,293,293,1.116202975,1.111808479,1.12059747,437.19375,437.125,437.275,0.002842164,0.001127684,0.004785239,0.046936569,0.046441245,0.047406483,0.71555399,0.715390194,0.715730387,109.3286909,109.3222366,109.3359688,94.578125,94.578125,94.578125,1,1,1,427.74375,427.65625,427.8375,101.1483774,101.1415123,101.1557922,102.2916107,102.2884522,102.2939453,110.4715119,110.46698,110.4757691,0.1875,0.1875,0.1875,-39.19922375,-39.4453175,-38.95313,12.99902635,12.94922161,13.04883108,5500,5500,5500,-0.020873539,-0.041747147,-0.002197311,0.989178711,0.983484888,0.994471979,0.00185019,-0.00048851,0.0047873,0.009312031,0.0085976,0.0099654,-7.80625,-15.3,-1.1,64.2,84.97227631,81.15890198,27000,1,1,15,0,34.17977524,49.31652985,0,0,288.25,110.9171753,1,147704,0,6005.4
676,6.76E+14,2004,8,24,18,20.3,39.5,119.9835587,20.96334038,42.60989418,1,15,15,24,0,0,0,0,94,7463.2,0,0,7562.4,0,1,107.9289169,1,1,1,1,2303397,41.95524372,5,-0.001685591,-80.54978877,719,7,0,0,15,102.9176941,108.0214539,104.2607727,103.8578491,3,5,0,10.4654911,1,-34.25,1,0,1,1,1,70.47838364,54.33936043,0,-9.975,0,1,9,1,1,1,2,0,0,0,0,0,0,2171.05,2170.6,2171.5,2039.15,2039,2039.3,1934.35,1924.9,1943.8,2110.1,2109.8,2110.4,0,0,0,0,0,0,138.228125,138.2,138.25625,10.16036005,10.16001806,10.16070204,343.9140625,343.9,343.928125,482.225,482.16875,482.28125,-1.294962311,-1.305191422,-1.2847332,2022.95,2022.8,2023.1,0.5,0,1,0,0,0,27025.675,27024,27027.2,-4.8,-86.4,75.2,-3.805633248,-3.831999863,-3.783661545,-4.309905137,-4.354949082,-4.271452988,-4.06491002,-4.091277207,-4.047331895,-4.06491002,-4.091277207,-4.047331895,27026.35,27024.4,27027.8,27027.125,27025.3,27028.7,285.328125,285.2625,285.4,293,293,293,1.20189572,1.186514974,1.217276466,439.14375,439.0875,439.2375,0.001965869,0.000264072,0.003667653,0.046072966,0.045526838,0.046593678,0.717812546,0.717632997,0.718004698,109.2739008,109.2640137,109.2826897,94.578125,94.578125,94.578125,1,1,1,429.0890625,428.9875,429.2,101.0721647,101.0629646,101.0810905,102.3027344,102.2994385,102.305481,110.5043335,110.5015869,110.5065308,0.1875,0.1875,0.1875,-38.28516125,-38.531255,-37.968755,13.94531631,13.94531631,13.94531631,5500,5500,5500,-0.367070311,-0.406482547,-0.328482288,0.993670875,0.988062859,0.999507857,-0.004915525,-0.007229782,-0.002735627,0.008054144,0.0073275,0.0088907,5.5125,3.1,7.5,64.2,84.95591049,81.15685806,27000,1,1,15,0,34.17977524,48.82824707,0,0,288.25,110.9171753,1,144937.6,0,6015.4
