ACID,Flight_instance_ID,Year,Month,Day,Hour,Minute,Second,ABRK,ELEV_1,ELEV_2,EVNT,FADF,FADS,FGC3,FIRE_1,FIRE_2,FIRE_3,FIRE_4,FLAP,FQTY_1,FQTY_2,FQTY_3,FQTY_4,GLS,GPWS,HDGS,HF1,HF2,HYDG,HYDY,ILSF,LATP,LMOD,LOC,LONP,MNS,MRK,MW,N1CO,OIPL,OIT_1,OIT_2,OIT_3,OIT_4,PACK,PH,POVT,PTRM,PUSH,SAT,SMKB,SMOK,SNAP,SPLG,SPLY,SPL_1,SPL_2,TAI,TAT,TCAS,TMAG,TMODE,VHF1,VHF2,VHF3,VMODE,VSPS,WAI_1,WAI_2,APUF_Mean,APUF_Min,APUF_Max,CCPC_Mean,CCPC_Min,CCPC_Max,CCPF_Mean,CCPF_Min,CCPF_Max,CWPC_Mean,CWPC_Min,CWPC_Max,CWPF_Mean,CWPF_Min,CWPF_Max,MSQT_1_Mean,MSQT_1_Min,MSQT_1_Max,MSQT_2_Mean,MSQT_2_Min,MSQT_2_Max,PI_Mean,PI_Min,PI_Max,PS_Mean,PS_Min,PS_Max,PSA_Mean,PSA_Min,PSA_Max,PT_Mean,PT_Min,PT_Max,RUDD_Mean,RUDD_Min,RUDD_Max,RUDP_Mean,RUDP_Min,RUDP_Max,SHKR_Mean,SHKR_Min,SHKR_Max,TOCW_Mean,TOCW_Min,TOCW_Max,ALT_Mean,ALT_Min,ALT_Max,ALTR_Mean,ALTR_Min,ALTR_Max,AOA1_Mean,AOA1_Min,AOA1_Max,AOA2_Mean,AOA2_Min,AOA2_Max,AOAC_Mean,AOAC_Min,AOAC_Max,AOAI_Mean,AOAI_Min,AOAI_Max,BAL1_Mean,BAL1_Min,BAL1_Max,BAL2_Mean,BAL2_Min,BAL2_Max,CAS_Mean,CAS_Min,CAS_Max,CASM_Mean,CASM_Min,CASM_Max,DA_Mean,DA_Min,DA_Max,GS_Mean,GS_Min,GS_Max,LATG_Mean,LATG_Min,LATG_Max,LONG_Mean,LONG_Min,LONG_Max,MACH_Mean,MACH_Min,MACH_Max,MH_Mean,MH_Min,MH_Max,N1T_Mean,N1T_Min,N1T_Max,NSQT_Mean,NSQT_Min,NSQT_Max,TAS_Mean,TAS_Min,TAS_Max,TH_Mean,TH_Min,TH_Max,TRK_Mean,TRK_Min,TRK_Max,TRKM_Mean,TRKM_Min,TRKM_Max,VIB_1_Mean,VIB_1_Min,VIB_1_Max,WD_Mean,WD_Min,WD_Max,WS_Mean,WS_Min,WS_Max,RALT_Mean,RALT_Min,RALT_Max,ROLL_Mean,ROLL_Min,ROLL_Max,VRTG_Mean,VRTG_Min,VRTG_Max,CTAC_Mean,CTAC_Min,CTAC_Max,FPAC_Mean,FPAC_Min,FPAC_Max,IVV_Mean,IVV_Min,IVV_Max,ACMT,AIL_1,AIL_2,ALTS,APFD,A_T,BLV,BPGR_1,BPGR_2,BPYR_1,BPYR_2,CALT,CASS,CRSS,DFGS,DWPT,EAI,FF
676,6.76E+14,2004,6,17,20,53,51,119.9835587,-1.96598587,42.64058151,1,15,15,24,0,0,0,0,94.5,8000,380.8,0,8112,-0.022736993,1,-61.08354013,1,1,1,1,2157669,46.86244172,5,-0.024656783,-96.02487137,719,7,0,0,15,113.3938599,120.3779907,119.1691925,114.4683411,3,5,0,8.57517128,1,-35.6,1,0,1,1,1,70.99081039,72.75881958,0,-14.85,0,1,9,1,1,1,2,896,0,0,0,0,0,2154.05,2153,2155.1,2025.8,2025.5,2026.1,1920.7,1901,1940.4,2097.2,2096.8,2097.6,0,0,0,0,0,0,102.540625,102.46875,102.6125,8.876924276,8.876631165,8.877217388,300.4703125,300.459375,300.48125,403.0296875,402.95625,403.103125,-1.252001572,-1.266321564,-1.23768158,2116.9,2116.7,2117.1,0.5,0,1,0,0,0,30029.125,30027.6,30030.6,44.8,-27.2,132.8,-1.532581032,-1.60399083,-1.458973588,-2.2609702,-2.333479966,-2.179671372,-1.902815903,-1.951155747,-1.841292466,-1.902815903,-1.951155747,-1.841292466,30029.9,30028.7,30031.5,30029.925,30028.7,30031.6,247.2125,247.06875,247.34375,274.75,274.75,274.75,3.923189831,3.906710434,3.94186647,398.175,398.0875,398.25,-0.002606143,-0.003596735,-0.001412332,0.06999976,0.069453657,0.070469666,0.667179444,0.666810894,0.667510194,-64.18557007,-64.19998963,-64.17197449,95.171875,95.171875,95.171875,1,1,1,397.5953125,397.38125,397.78125,-58.9462085,-58.9602153,-58.93220169,-54.99866516,-55.00141174,-54.9964679,-60.2377475,-60.24118073,-60.23458893,0.1875,0.1875,0.1875,-149.4492238,-149.906255,-148.9921925,26.67041588,26.59570885,26.7949276,5500,5500,5500,0.174128042,0.120845927,0.220818539,0.986374706,0.977533483,0.995387602,2.44E-05,-0.002344785,0.002735605,0.012743744,0.011724,0.0138734,41.6,33.2,48.8,64.1,84.64699249,80.96250763,30000,1,1,15,0,24.41412354,47.36339989,0,0,270.95,-67.06007211,1,524580,0,5315.6
676,6.76E+14,2004,6,17,20,54,0,119.9835587,-2.324000931,42.62421494,1,15,15,24.4,0,0,0,0,94.3,8000,367.2,0,8112,-0.001832988,1,-61.08354013,1,1,1,1,2157669,46.8730853,5,-0.006095584,-96.04685548,719,7,0,0,15,113.3938599,120.3779907,119.1691925,114.4683411,3,5,0,8.628361893,1,-35.6,1,0,1,1,1,70.98504028,72.76362686,0,-14.525,0,1,9,1,1,1,2,896,0,0,0,0,0,2158.55,2157.5,2159.6,2031.2,2030.8,2031.6,1969.9,1953.6,1986.2,2092.75,2092.4,2093.1,0,0,0,0,0,0,104.171875,104.103125,104.240625,8.875605297,8.87526331,8.875947285,300.43125,300.41875,300.44375,404.6265625,404.553125,404.7,-1.245863724,-1.252000809,-1.239726639,2116.8,2116.6,2117,0.5,0,1,0,0,0,30032.5,30030.8,30034.4,-29.6,-126.4,78.4,-1.742415894,-1.78416356,-1.696273698,-2.448836411,-2.504866685,-2.399397935,-2.09287938,-2.148909654,-2.043440904,-2.09287938,-2.148909654,-2.043440904,30033.125,30031.8,30034.8,30033.2,30031.8,30034.9,249.09375,248.9875,249.2125,274.75,274.75,274.75,3.891329652,3.889132405,3.897921396,400.70625,400.625,400.8,-0.004180935,-0.005425525,-0.003241146,0.067739162,0.067218471,0.068437672,0.671961133,0.671674484,0.672254086,-64.24105103,-64.2461322,-64.23569519,95.18476563,95.1828125,95.1859375,1,1,1,400.4578125,400.29375,400.625,-58.98438294,-58.98877747,-58.97943909,-55.06746476,-55.07172195,-55.06348221,-60.32536347,-60.32907135,-60.32028229,0.1875,0.1875,0.1875,-148.5703175,-148.8515675,-148.35938,26.86963463,26.7949276,26.89453697,5500,5500,5500,0.049024934,0.027464809,0.071408875,0.982683682,0.974328756,0.99218297,-0.003840838,-0.005861998,-0.001954032,0.013427644,0.0126033,0.0144596,-27.34375,-34.7,-19.9,63.6,84.56106949,80.91340637,30000,1,1,15,0,24.41412354,48.82824707,0,0,270.85,-67.06007211,1,524509.2,0,5339
676,6.76E+14,2004,6,17,20,54,10,119.9835587,-2.301496887,42.61398583,1,15,15,24.2,0,0,0,0,94.5,7998.4,355.2,0,8109.6,-0.002339985,1,-61.08354013,1,1,1,1,2157669,46.88376258,5,-0.004841185,-96.06909081,719,7,0,0,15,63.02761232,120.3779907,119.0348816,114.3340302,3,5,0,8.8186203,1,-35.425,1,0,1,1,1,70.99177093,72.73574829,0,-14,0,1,9,1,1,1,2,896,0,0,0,0,0,2160.3,2158.1,2162.5,2035,2034.4,2035.6,1929.7,1911.7,1947.7,2092.6,2091.9,2093.3,0,0,0,0,0,0,106.2375,106.096875,106.378125,8.877754832,8.87731514,8.878194523,300.496875,300.490625,300.503125,406.746875,406.60625,406.8875,-1.248933029,-1.264276123,-1.233589935,2116.7,2116.3,2117.1,0.5,0,1,0,0,0,30027.75,30026.1,30029.5,-8,-110.4,91.2,-1.867659653,-1.929183091,-1.806136216,-2.538923348,-2.605938615,-2.474104966,-2.208235825,-2.27635106,-2.153304185,-2.208235825,-2.27635106,-2.153304185,30027.875,30026.3,30029.4,30027.825,30026.6,30029.5,251.4390625,251.23125,251.65625,274.75,274.75,274.75,3.699070322,3.678196454,3.717746949,403.434375,403.325,403.55,-0.165966246,-0.545073974,-0.002275956,0.066354856,0.065643656,0.067015254,0.677809124,0.677268893,0.678358799,-64.1640094,-64.17636902,-64.15164978,95.15859375,95.1546875,95.1640625,0.875,0.7,1,404.065625,403.78125,404.35,-58.88825771,-58.89979279,-58.87617295,-55.16482575,-55.1683963,-55.16015656,-60.44030793,-60.44387848,-60.43673737,0.1875,0.1875,0.1875,-146.67188,-147.1640675,-146.1796925,25.45020103,25.30078697,25.5996151,5500,5500,5500,0.215188258,0.166987239,0.260368207,0.450062031,-1.628950834,1.005230331,-0.000671683,-0.003712612,0.00205168,0.014038269,0.0132872,0.0150458,7.99375,-2.4,17.8,63.6,84.57334366,80.90726852,30000,1,1,15,0,24.41412354,42.48057518,0,0,271,-67.06007211,1,524438.4,0,5353.8
676,6.76E+14,2004,6,17,20,54,20,119.9835587,-2.712702942,42.61398583,1,15,15,24.2,0,0,0,0,94.3,7995.2,340.8,0,8110.4,-0.018875995,1,-61.08354013,1,1,1,1,2157669,46.89450802,5,-0.023637589,-96.09142724,719,7,0,0,15,-88.07113036,120.3779907,119.3035034,114.3340302,3,5,0,9.125491333,1,-35.8,1,0,1,1,1,70.98600159,72.71844406,0,-13.975,0,1,9,1,1,1,2,896,0,0,0,0,0,2164.7,2164.2,2165.2,2042.85,2042.6,2043.1,1970.4,1947.9,1992.9,2089.5,2088.8,2090.2,0,0,0,0,0,0,108.503125,108.434375,108.571875,8.876728916,8.876435757,8.877022076,300.453125,300.44375,300.4625,408.9828125,408.91875,409.046875,-1.260184479,-1.278596115,-1.241772842,2116.8,2116.6,2117,0.5,0,1,0,0,0,30029.625,30028.4,30030.9,-42.4,-121.6,41.6,-2.214827622,-2.267561997,-2.166487778,-2.850928772,-2.913550462,-2.790505113,-2.530133904,-2.583965958,-2.487287797,-2.531232537,-2.579571427,-2.491682328,30030.325,30028.6,30032,30030.425,30028.6,30032.1,253.99375,253.875,254.09375,274.75,274.75,274.75,3.825412184,3.814425945,3.840792894,406.1625,406.075,406.2875,-0.139740738,-0.437174749,-0.003799939,0.062392467,0.061884451,0.062951279,0.684276073,0.683965796,0.684520197,-64.34225685,-64.35214417,-64.33291886,95.15390625,95.1515625,95.15625,0.875,0.5,1,407.6234375,407.45,407.7625,-59.04631893,-59.05634339,-59.03711884,-55.19064362,-55.19586212,-55.18542511,-60.48589718,-60.49276306,-60.48067887,0.1875,0.1875,0.1875,-144.843755,-145.1953175,-144.42188,26.77002525,26.69531822,26.89453697,5500,5500,5500,0.036665556,0.007689873,0.072507142,0.435441011,-2.0716434,0.987605,-0.004781208,-0.006545902,-0.0027356,0.013525344,0.0126033,0.0145573,-28.46875,-43.7,-13.7,64.2,84.49355698,80.87044373,30000,1,1,15,0,24.41412354,42.96885758,0,0,271,-67.06007211,1,524365.2,0,5368.6
676,6.76E+14,2004,6,17,20,54,30,119.9835587,-4.408671188,42.61807747,1,15,15,24,0,0,0,0,94.2,7992,328,0,8112,-0.003510001,1,-61.08354013,1,1,1,1,2157669,46.90525422,5,-0.007722387,-96.11394441,719,7,0,0,15,113.1252442,120.3779907,68.13139344,113.7967865,3,5,0,9.258468246,1,-35.35,1,0,1,1,1,70.98023224,72.71940613,0,-13.35,0,1,9,1,1,1,2,896,0,0,0,0,0,1621.7,1081.1,2162.3,2042.8,2042.6,2043,2007.4,1998.4,2016.4,2083.9,2083.6,2084.2,0,0,0,0,0,0,109.265625,109.21875,109.3125,8.881906796,8.881516075,8.882297516,300.6484375,300.634375,300.6625,409.9375,409.871875,410.003125,-1.206995201,-1.221315384,-1.192675018,2116.7,2116.5,2116.9,0.5,0,1,0,0,0,30016.825,30015.8,30018.1,-66.8,-144,19.2,-2.184065903,-2.20603856,-2.153304185,-2.823462571,-2.869605149,-2.781714524,-2.502669419,-2.55760106,-2.460921372,-2.502669419,-2.55760106,-2.460921372,30016.725,30015.3,30018.1,30016.8,30015.4,30018.4,254.846875,254.75,254.95,274.75,274.75,274.75,3.627659702,3.607884455,3.643040443,408.74375,408.65,408.8375,-0.03308613,-0.115102732,-0.004358721,0.062252784,0.061782885,0.062748075,0.686225909,0.685956591,0.68649208,-64.30751354,-64.32193253,-64.29281952,95.0859375,95.0828125,95.0890625,1,1,1,409.2046875,409.05,409.35625,-58.99386112,-59.00965378,-58.97724487,-55.33744576,-55.34142792,-55.33318894,-60.65137513,-60.65590698,-60.64656861,0.1875,0.1875,0.1875,-147.0761769,-147.375005,-146.812505,25.47510338,25.40039635,25.5996151,5500,5500,5500,0.133754542,0.099972509,0.166987205,0.883798879,0.115724897,0.997905493,-0.003682058,-0.005568863,-0.001367846,0.012047631,0.0112355,0.0127987,-62.275,-67.6,-57,64.2,84.43627319,80.8233902,30000,1,1,15,0,24.41412354,46.87511749,0,0,271,-67.06007211,1,513975.6,0,5370
676,6.76E+14,2004,6,17,20,54,40,119.9835587,-4.750320053,42.61807747,1,15,15,24,0,0,0,0,94.3,7992,313.6,0,8106.4,-0.002261987,1,-61.08354013,1,1,1,1,2157669,46.91606898,5,-0.006350391,-96.13664233,719,7,0,0,15,112.9909363,120.3779907,119.0348816,113.6624787,3,5,0,9.260514068,1,-35.25,1,0,1,1,1,70.98792496,72.67806625,0,-13,0,1,9,1,1,1,2,896,0,0,0,0,0,1837.1,1512.5,2161.7,2040.8,2040.5,2041.1,1914.55,1899,1930.1,2097.1,2096.3,2097.9,0,0,0,0,0,0,110.1859375,110.1375,110.234375,8.883372307,8.882981491,8.883763123,300.7,300.690625,300.709375,410.9171875,410.8625,410.971875,-1.257115555,-1.268367005,-1.245864105,2116.75,2116.5,2117,0.5,0,1,0,0,0,30013.075,30011.6,30014.5,12.4,-49.6,97.6,-2.270857896,-2.298323716,-2.245589341,-2.875098313,-2.904761399,-2.852027024,-2.574078835,-2.610332383,-2.540022172,-2.574078835,-2.610332383,-2.540022172,30013.325,30012.1,30014.5,30013.475,30012.2,30014.6,255.8984375,255.83125,255.99375,274.75,274.75,274.75,3.383764988,3.366187024,3.396948457,411.171875,411.075,411.3,-0.00270775,-0.003596759,-0.00197115,0.061058971,0.060665262,0.061528874,0.688829394,0.688615191,0.689087695,-64.00031979,-64.00938294,-63.99070694,95.04960938,95.0484375,95.05,1,1,1,410.8546875,410.75,410.9875,-58.6675771,-58.67567932,-58.65865128,-55.26081707,-55.27221482,-55.25024292,-60.59410984,-60.604272,-60.58339874,0.1875,0.1875,0.1875,-148.7460988,-149.062505,-148.500005,23.73193932,23.50781822,24.0058651,5500,5500,5500,0.798956873,0.754738221,0.841527617,0.938763511,0.553381777,0.996303272,0.011064525,0.0089884,0.0127987,0.011736213,0.0109424,0.0122125,49.06875,43.4,54.7,64.1,84.64699173,80.97682724,30000,1,1,15,0,24.41412354,47.36339989,0,0,271,-67.06007211,1,472634.4,0,5363.8
676,6.76E+14,2004,6,17,20,54,50,119.9835587,-4.056793976,42.61603165,1,15,15,24,0,0,0,0,94.3,7992,298.4,0,8107.2,-0.017315986,1,-61.08354013,1,1,1,1,2157669,46.92702121,5,-0.017051991,-96.15945667,719,7,0,0,15,112.7223206,120.2436798,119.0348816,113.7967865,3,5,0,9.264605713,1,-35.25,1,0,1,1,1,70.98215637,72.63191986,0,-12.925,0,1,9,1,1,1,2,896,0,0,0,0,0,2165.4,2165.1,2165.7,2041.8,2041.7,2041.9,1953.55,1932.9,1974.2,2094.95,2094.4,2095.5,0,0,0,0,0,0,111.071875,111.040625,111.103125,8.881515932,8.881027412,8.882004452,300.6296875,300.609375,300.65,411.7140625,411.6875,411.740625,-1.232567406,-1.243818665,-1.221316147,2116.65,2116.5,2116.8,0.5,0,1,0,0,0,30017.925,30016.5,30019.1,2.4,-78.4,73.6,-2.419173325,-2.438948716,-2.403792466,-3.006934251,-3.054175461,-2.966284836,-2.711402024,-2.737769211,-2.693823899,-2.711402024,-2.737769211,-2.693823899,30018.675,30017.5,30019.9,30018.75,30017.5,30019.8,256.86875,256.80625,256.93125,274.75,274.75,274.75,3.535375184,3.51999445,3.546361423,413.30625,413.25,413.3875,-0.005781135,-0.007152724,-0.004511154,0.059560347,0.059192061,0.059954047,0.691328923,0.691160411,0.69150058,-64.01679871,-64.02366516,-64.00993225,95.04140625,95.0390625,95.0421875,1,1,1,412.2796875,412.19375,412.375,-58.66524269,-58.67183411,-58.65865128,-55.10454228,-55.11017182,-55.09918701,-60.45637257,-60.4631015,-60.45046799,0.1875,0.1875,0.1875,-149.9414113,-150.1171925,-149.8359425,25.15137291,25.10156822,25.2011776,5500,5500,5500,0.13293036,0.087887806,0.180170166,0.985916919,0.983484888,0.98852067,-0.002961528,-0.004884975,-0.000879283,0.00903725,0.0083045,0.0094769,12.125,9,15.4,64.2,84.56106949,80.93181839,30000,1,1,15,0,24.41412354,47.85168228,0,0,271,-67.06007211,1,470514.4,0,5369.2
676,6.76E+14,2004,6,17,20,55,0,119.9835587,-6.961829376,42.61194001,1,15,15,24.2,0,0,0,0,94.5,7992,284,0,8112,-0.008501989,1,-61.08354013,1,1,1,1,2157669,46.93799067,5,-0.010956387,-96.18236905,719,7,0,0,15,112.5880127,120.2436798,119.0348816,113.6624756,3,5,0,9.293246841,1,-35.25,1,0,1,1,1,70.99465714,72.64345474,0,-12.7,0,1,9,1,1,1,2,896,0,0,0,0,0,2168.1,2166.5,2169.7,2042.25,2042,2042.5,1973.55,1964.7,1982.4,2089.2,2088.9,2089.5,0,0,0,0,0,0,112.090625,111.990625,112.190625,8.880685568,8.880343628,8.881027508,300.603125,300.59375,300.6125,412.7,412.6125,412.7875,-1.227453232,-1.235635758,-1.219270706,2116.8,2116.7,2116.9,0.5,0,1,0,0,0,30019.65,30018.4,30020.9,27.2,-51.2,124.8,-2.455427636,-2.496076859,-2.41697606,-3.046485032,-3.102515305,-2.992652024,-2.755347909,-2.80368718,-2.715798844,-2.755347909,-2.80368718,-2.715798844,30020.35,30018.6,30021.8,30020.425,30018.8,30021.8,258.025,257.86875,258.2125,274.75,274.75,274.75,3.401342958,3.392553973,3.410131955,414.95625,414.8875,415.0125,-0.006022432,-0.007305133,-0.004206348,-0.026786947,-0.283961952,0.059598446,0.694253699,0.6938631,0.694707298,-64.03327515,-64.04123947,-64.02586014,95.00898438,95.0078125,95.0109375,1,1,1,414.0359375,413.8125,414.28125,-58.66249439,-58.67018387,-58.65480454,-55.23884613,-55.24420197,-55.23376496,-60.60990174,-60.6163562,-60.60427124,0.1875,0.1875,0.1875,-150.2753956,-150.750005,-149.906255,24.25488853,24.20508385,24.4043026,5500,5500,5500,0.043119871,0.018675966,0.064817275,0.992898345,0.983255959,1.001339054,-0.005422334,-0.007913686,-0.003224135,0.007944231,0.0070344,0.0089884,41.86875,33.5,49.6,64.2,84.47719116,80.8643074,30000,1,1,15,0,24.90240613,47.36339989,0,0,271,-67.06007211,1,468394,0,5366.4
676,6.76E+14,2004,6,17,20,55,10,119.9835587,-8.322286225,42.61194001,1,15,15,24,0,0,0,0,94.4,7992,268,0,8112,-0.000779988,1,-61.08354013,1,1,1,1,2157669,46.94895975,5,-0.001901195,-96.20547749,719,7,0,0,15,112.4537049,120.3779907,118.9005707,113.6624756,3,5,0,9.575566864,1,-35.25,1,0,1,1,1,70.97157898,72.52424088,0,-12.275,0,1,9,1,1,1,2,896,0,0,0,0,0,2168.45,2168.2,2168.7,2044.85,2044.7,2045,1984.5,1973.4,1995.6,2086.55,2086,2087.1,0,0,0,0,0,0,114.4,114.3375,114.4625,8.87765708,8.877217389,8.878096771,300.496875,300.48125,300.5125,414.9171875,414.85,414.984375,-1.237681007,-1.247909546,-1.227452469,2116.7,2116.4,2117,0.5,0,1,0,0,0,30027.6,30026.3,30029,5.2,-76.8,68.8,-2.727882089,-2.759741868,-2.702614487,-3.279395188,-3.304663743,-3.251929368,-3.010230149,-3.032202805,-2.992652024,-3.010230149,-3.032202805,-2.992652024,30028.05,30026.5,30029.8,30028,30026.4,30029.8,260.5328125,260.40625,260.65,274.75,274.75,274.75,3.214576727,3.207984972,3.225562978,416.653125,416.5875,416.7125,-0.005641437,-0.007305121,-0.003799951,-0.172316238,-0.741923987,0.055940878,0.700643462,0.70033949,0.700931686,-63.9519809,-63.9604953,-63.94346649,94.95585938,94.9546875,94.9578125,1,1,1,417.840625,417.68125,418.0125,-58.56128723,-58.57021363,-58.5526355,-55.32179291,-55.32495148,-55.318909,-60.71330788,-60.71523011,-60.71138565,0.1875,0.1875,0.1875,-144.98438,-145.1953175,-144.7734425,22.95996666,22.91016197,23.10938072,5500,5500,5500,0.390003013,0.353749207,0.425158212,0.985401881,0.979593611,0.989665222,0.00139222,-0.000879322,0.004103398,0.008389988,0.0076206,0.0090861,17.16875,12.5,22.2,64.1,84.47719193,80.88067169,30000,1,1,15,0,24.41412354,48.33996468,0,0,271,-67.06007211,1,468319.2,0,5375.8
676,6.76E+14,2004,6,17,20,55,20,119.9835587,-5.14720459,56.38631096,1,15,15,24.2,0,0,0,0,94,7992,252.8,0,8112,-0.00194998,1,-61.08354013,1,1,1,1,2157669,46.95996253,5,-0.008623986,-96.22865333,719,7,0,0,15,112.319397,120.3779907,119.0348816,113.6624756,3,5,0,9.577612686,1,-35.425,1,0,1,1,1,70.96388855,71.97912674,0,-12.25,0,1,9,1,1,1,2,896,0,0,0,0,0,2171.7,2171.1,2172.3,1841.7,1636.7,2046.7,1985.75,1970.6,2000.9,2089.35,2088.9,2089.8,0,0,0,0,0,0,115.5234375,115.45625,115.590625,8.87731514,8.876924229,8.877706051,300.484375,300.46875,300.5,416.065625,415.9875,416.14375,-1.238704491,-1.241772843,-1.235636139,2116.65,2116.4,2116.9,0.5,0,1,0,0,0,30028.5,30027.1,30029.9,11.2,-57.6,78.4,-2.802588548,-2.825659836,-2.781714524,-3.335425461,-3.374976243,-3.300269212,-3.080542649,-3.111304368,-3.054175462,-3.080542649,-3.111304368,-3.054175462,30028.875,30027.5,30030.4,30029.1,30027.8,30030.4,261.7828125,261.64375,261.93125,274.75,274.75,274.75,3.257423109,3.251929974,3.265113496,418.375,418.325,418.45,-0.006301832,-0.007660735,-0.004358757,-0.002555347,-0.173624372,0.05492487,0.703760396,0.703388691,0.704144698,-63.96406586,-63.970383,-63.95774872,94.953125,94.953125,94.953125,1,1,1,419.5984375,419.39375,419.8125,-58.55387146,-58.55977661,-58.54769165,-55.27166779,-55.275513,-55.26782257,-60.68227417,-60.68557007,-60.67952759,0.19609375,0.190625,0.2,-144.7207081,-145.125005,-144.3515675,23.40820885,23.40820885,23.40820885,5500,5500,5500,0.512222269,0.488877022,0.537215418,0.98989405,0.985315991,0.994929791,0.003327899,0.000293074,0.0062528,0.008341138,0.0073275,0.0091838,8.25625,5.8,10.4,64.2,84.50378494,80.90317688,30000,1,1,15,0,24.41412354,48.33996468,0,0,271,-67.06007211,1,468246.4,0,5379
